communication_mode,communication_with_audience,content_country,decision_method,end_date,facetoface_online_or_both,facilitated,id,issue,kind_of_influence,location,number_of_meeting_days,ongoing,original_language,participant_selection,post_date,published,specific_topic,staff_type,start_date,targeted_audience,targeted_participant_demographic,targeted_participants_public_role,total_number_of_participants,type_of_funding_entity,typical_implementing_entity,typical_sponsoring_entity,updated_date,voting,who_else_supported_the_initiative,who_was_primarily_responsible_for_organizing_the_initiative
Discussion,Public Report,United States,Getting sense of room/group (i.e. no formal voting),2010-03-22T15:30:00,both,Yes,743,Economic Development,Community building (e.g. social capital),262,27,No,en,Open to all,2012-12-09T01:31:06,Yes,Gambling Legislation,,2010-02-13T08:30:00,General Public,General Public,Lay Public,496,Philanthropic Organization (i.e. dedicated to making monetary grants or gifts),Non-Governmental Organization (Non-profit),Academic Institution,2016-02-24T16:47:49,none,Carsey Institute and Cooperative Extension at the University of New Hampshire,638
or Deliberation,Public Report,Brazil,Voting,,facetoface,Yes,744,Budgeting,Community building (e.g. social capital),263,,Yes,en,Open to all,2012-12-10T02:11:47,Yes,Municipal Budgeting,,,General Public,General Public,Lay Public,,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",2016-02-23T18:00:05,preferential,,
Discussion,"New Media (i.e. internet, texting, etc)",United States,Opinion Survey,2011-10-06T17:30:00,both,Yes,746,Education &amp; Schools,Community building (e.g. social capital),264,2,No,en,Open to all,2012-12-10T07:29:36,Yes,Environment,,2011-10-05T14:30:00,General Public,General Public,"Stakeholder Organizations (e.g. NGOs, Neighbourhood Associations, Industry Representatives)",,"Regional Government (e.g. State, Provincial, Territorial)","Local Government (e.g. Village, Town, City)","Regional Government (e.g. State, Provincial, Territorial)",2016-08-22T16:25:54,none,New Hampshire Office of Energy and Planning (OEP),638
Discussion,Policy Recommendations,United States,Getting sense of room/group (i.e. no formal voting),2011-10-06T17:30:00,facetoface,Yes,750,Community Development,Consultation (i.e. to advise decision makers),265,2,No,en,Open to all,2012-12-10T16:21:07,Yes,outdoor recreation,,2011-10-05T14:30:00,General Public,Immigrants,,171,"Regional Government (e.g. State, Provincial, Territorial)","Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",2016-02-23T17:24:56,none,NH Office of Energy and Planning (OEP),638
or Deliberation,Public Report,United States,Getting sense of room/group (i.e. no formal voting),,facetoface,Yes,787,Budgeting,Raise public awareness,266,,No,de,Random Selection,2013-02-18T09:01:01,Yes,,,,Elected Public Official,General Public,Lay Public,100,National Government,Academic Institution,"Regional Government (e.g. State, Provincial, Territorial)",2016-02-25T04:43:45,none,,
or Deliberation,Policy Recommendations,Canada,Opinion Survey,2003-04-01T17:00:00,facetoface,Yes,753,Identity &amp; Diversity,"Develop individual capacities (e.g. skills, learning)",267,60,No,en,Random Selection,2012-12-11T23:57:51,Yes,Future Policy,,2002-09-01T09:00:00,"Organized Groups (e.g. NGOs, Business Associations)",General Public,Lay Public,408,National Government,International Organization,National Government,2016-02-22T16:36:25,none,,602
or Deliberation,,Australia,Voting,,facetoface,Yes,754,Environment,Consultation (i.e. to advise decision makers),268,4,No,en,Random Selection,2012-12-12T04:21:51,Yes,Energy Supply,,,,General Public,Lay Public,4000,Non-Governmental Organization (Non-profit),Non-Governmental Organization (Non-profit),Individual,2016-02-22T16:59:18,supermajority,Ord Minnett,216
Dialogue,"New Media (i.e. internet, texting, etc)",Germany,Voting,2009-06-07T17:00:00,both,Yes,755,Economic Development,Consultation (i.e. to advise decision makers),269,,No,de,Random Selection,2012-12-12T23:33:14,Yes,Public Policy Formulation,Facilitators,,Appointed Public Servants (e.g. bureaucrats),General Public,Lay Public,,Non-Governmental Organization (Non-profit),Non-Governmental Organization (Non-profit),Non-Governmental Organization (Non-profit),2016-05-27T17:59:46,majority,European Parliament,648
Dialogue,"New Media (i.e. internet, texting, etc)",Germany,Voting,2011-12-31T17:00:00,both,Yes,758,"Political Institutions (e.g. Constitutions, Legal Systems, Electoral Systems)",Raise public awareness,270,,No,en,Open to all,2012-12-13T22:22:29,Yes,Education,,2011-01-01T09:00:00,General Public,General Public,Lay Public,10000,"Local Government (e.g. Village, Town, City)",Non-Governmental Organization (Non-profit),National Government,2016-02-22T16:09:23,majority,European Institute for Public Participation ,756
Express opinions/preferences only,,United Kingdom,Voting,,,Yes,1199,,Co-governance (i.e. to share decision making with public authorities),271,,No,en,Open to all,2013-07-24T11:36:09,Yes,,,,,General Public,,,"Regional Government (e.g. State, Provincial, Territorial)",Community Based Organization,Community Based Organization,2013-11-13T21:31:13,none,,
Discussion,,United Kingdom,Voting,,,Yes,1194,Budgeting,Co-governance (i.e. to share decision making with public authorities),272,,No,en,Open to all,2013-07-23T16:22:54,Yes,Participatory Budgeting,,,General Public,General Public,,250,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",,2013-11-13T22:17:41,none,,
Negotiate &amp; Bargain,"New Media (i.e. internet, texting, etc)",United States,Voting,2010-06-21T15:00:00,facetoface,No,792,Education &amp; Schools,Protest,273,,No,de,Open to all,2013-03-05T10:42:58,Yes,education reform,,2010-04-21T09:00:00,Elected Public Official,Students,Lay Public,,,Individual,Union,2016-05-23T22:39:10,majority,,
Dialogue,"Traditional Media (i.e. television, radio, newspapers)",South Korea,Opinion Survey,2011-08-12T17:00:00,facetoface,Yes,796,International Aid &amp; Development,Consultation (i.e. to advise decision makers),274,2,No,de,Random Selection,2013-03-10T15:37:41,Yes,reunification,,2011-08-11T09:00:00,General Public,General Public,Lay Public,193,For Profit Business,Academic Institution,For Profit Business,2016-03-08T16:45:10,none,Center for Deliberative Democracy,641
Other,Public Report,Canada,Opinion Survey,,online,Yes,797,Environment,Consultation (i.e. to advise decision makers),275,,No,en,Open to all with targeted recruitment,2013-03-12T17:02:59,Yes,Wildlife/livestock control,academic researcher/politician,,Elected Public Official,General Public,Appointed Public Servants (e.g. Bureaucrats),,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",Academic Institution,2016-02-21T16:09:08,none,,798
Discussion,Public Report,,Getting sense of room/group (i.e. no formal voting),2013-12-01T17:00:00,facetoface,Yes,801,Immigration,"Develop individual capacities (e.g. skills, learning)",276,,No,en,Open to all,2013-03-15T15:42:47,Yes,Campaign/Protest,,2012-12-01T09:00:00,General Public,General Public,"Stakeholder Organizations (e.g. NGOs, Neighbourhood Associations, Industry Representatives)",,International Organization,Non-Governmental Organization (Non-profit),Non-Governmental Organization (Non-profit),2016-02-21T16:33:47,none,Citizens Pact for European Democracy,229
Express opinions/preferences only,,United Kingdom,Voting,,,Yes,1200,,Co-governance (i.e. to share decision making with public authorities),277,,,en,Open to all,2013-07-24T14:27:28,Yes,,,,,General Public,,,Community Based Organization,"Local Government (e.g. Village, Town, City)",,2013-11-13T21:53:44,none,,
or Deliberation,Other,Israel,Voting,,facetoface,No,967,Education &amp; Schools,,278,,Yes,de,Election,2013-05-22T18:23:21,Yes,Democratic Education,,,Other,Students,Lay Public,,Individual,Individual,"Local Government (e.g. Village, Town, City)",2016-05-25T22:59:06,majority,,
No interaction among participants,Public Hearings/Meetings,Indonesia,Voting,2006-01-29T16:00:00,facetoface,No,808,"Planning (e.g. Urban planning, Transportation, etc.)",Make public decisions (i.e. exert direct authority),279,,No,de,Open to all with targeted recruitment,2013-03-25T13:02:46,Yes,restructuring civil society,,2005-08-31T17:00:00,General Public,General Public,Lay Public,,Other,"Local Government (e.g. Village, Town, City)",Other,2016-05-15T15:56:16,none,,
or Deliberation,"New Media (i.e. internet, texting, etc)",United States,Not Applicable,,online,Yes,1134,Higher Education &amp; Lifelong Learning,Raise public awareness,280,,Yes,en,Open to all,2013-06-28T13:51:46,No,restructuring civil society,,,General Public,General Public,Lay Public,75,Individual,Individual,,2013-11-25T15:48:17,none,,1135
or Deliberation,Policy Recommendations,Belgium,,,both,Yes,1110,Environment,Raise public awareness,281,,No,en,Open to all with targeted recruitment,2013-06-24T21:13:00,Yes,restructuring civil society,,,General Public,Immigrants,Lay Public,250,National Government,For Profit Business,Philanthropic Organization (i.e. dedicated to making monetary grants or gifts),2013-11-25T06:47:05,none,Belgian King Baudouin Foundation,1127
or Deliberation,"New Media (i.e. internet, texting, etc)",United States,Getting sense of room/group (i.e. no formal voting),,both,Yes,1112,Identity &amp; Diversity,Community building (e.g. social capital),282,,No,en,Open to all,2013-06-25T01:33:39,Yes,urban development,,,General Public,Other,Lay Public,450,Philanthropic Organization (i.e. dedicated to making monetary grants or gifts),"Local Government (e.g. Village, Town, City)",Academic Institution,2013-11-25T06:50:10,none,Asian Community Development Corporation,1113
Dialogue,Policy Recommendations,Australia,Voting,2009-02-09T16:00:00,both,Yes,825,"Political Institutions (e.g. Constitutions, Legal Systems, Electoral Systems)",Other,283,4,No,de,Random Selection,2013-04-03T08:12:53,Yes,Democracy Reform,Mostly volunteers w/ some paid,2009-02-06T14:30:00,Elected Public Official,General Public,Lay Public,150,Non-Governmental Organization (Non-profit),Non-Governmental Organization (Non-profit),National Government,2016-05-23T15:55:47,preferential,,216
Dialogue,"Traditional Media (i.e. television, radio, newspapers)",United States,Not Applicable,,facetoface,Yes,1141,"Planning (e.g. Urban planning, Transportation, etc.)","Develop individual capacities (e.g. skills, learning)",284,,No,en,Appointment,2013-07-02T15:58:45,Yes,civil service,Volunteers,,General Public,General Public,"Experts (e.g. Scientists, Engineers, Criminologists, Doctors, Lawyers)",100,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",,2013-11-25T06:40:44,none,,1142
Discussion,Other,United Kingdom,Voting,,facetoface,Yes,1184,Health,Make public decisions (i.e. exert direct authority),285,,No,en,Open to all,2013-07-19T06:11:05,Yes,,,,General Public,General Public,Lay Public,1000,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",,2013-11-13T22:58:25,none,,
or Deliberation,"New Media (i.e. internet, texting, etc)",Greece,Voting,,online,Yes,1185,Community Development,Raise public awareness,286,,No,en,Open to all with targeted recruitment,2013-07-19T11:02:28,Yes,social capital,,,General Public,Immigrants,Lay Public,500,"Regional Government (e.g. State, Provincial, Territorial)",Government-Owned Corporation,,2015-03-30T21:22:09,none,,1239
Informal Social Activities,Public Hearings/Meetings,United Kingdom,Voting,,facetoface,Yes,1186,Education &amp; Schools,Co-governance (i.e. to share decision making with public authorities),287,,No,en,Open to all with targeted recruitment,2013-07-22T17:01:53,Yes,,,,General Public,Youth,Lay Public,450,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",,2013-11-13T21:56:46,preferential,,
Dialogue,Public Hearings/Meetings,Philippines,,,facetoface,Yes,1155,Community Development,Community building (e.g. social capital),288,,No,en,Open to all,2013-07-12T01:51:31,Yes,government transparency,,,"Organized Groups (e.g. NGOs, Business Associations)",General Public,"Experts (e.g. Scientists, Engineers, Criminologists, Doctors, Lawyers)",350,"Local Government (e.g. Village, Town, City)",Non-Governmental Organization (Non-profit),"Local Government (e.g. Village, Town, City)",2013-11-25T02:05:23,none,Local Government Unit (LGU) of Pinabacdao,1158
or Deliberation,Public Report,Germany,Voting,2010-05-08T09:00:00,both,Yes,973,Community Development,Community building (e.g. social capital),289,,No,en,Open to all,2013-05-23T18:35:24,Yes,Area Redevelopment,,2007-05-23T09:00:00,Appointed Public Servants (e.g. bureaucrats),General Public,Lay Public,11500,National Government,For Profit Business,National Government,2016-05-26T19:03:27,preferential,,648
or Deliberation,Public Report,United States,Not Applicable,,both,Yes,974,Environment,Consultation (i.e. to advise decision makers),290,,No,en,Open to all with targeted recruitment,2013-05-23T21:16:18,Yes,Chemical Exposure,,2009-06-26T09:00:00,General Public,General Public,"Experts (e.g. Scientists, Engineers, Criminologists, Doctors, Lawyers)",2000,National Government,Non-Governmental Organization (Non-profit),Non-Governmental Organization (Non-profit),2016-02-18T16:51:31,none,and the National Association of County and City Health Officials,4325
Discussion,Public Hearings/Meetings,Tanzania,,,facetoface,Yes,1079,"Political Institutions (e.g. Constitutions, Legal Systems, Electoral Systems)",Consultation (i.e. to advise decision makers),291,,Yes,en,Open to all,2013-06-18T01:53:05,Yes,government sponsored organization,,,General Public,General Public,Lay Public,,National Government,"Local Government (e.g. Village, Town, City)",,2013-11-04T19:21:47,none,Deutsche Gesellschaft für Technische Zusammenarbeit (GTZ) GmbH,1081
No interaction among participants,"New Media (i.e. internet, texting, etc)",United Kingdom,Opinion Survey,,online,Yes,1147,Health,Consultation (i.e. to advise decision makers),292,,No,en,Open to all with targeted recruitment,2013-07-06T18:18:19,Yes,,,,General Public,General Public,Lay Public,,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",,2013-07-06T18:27:05,preferential,,
Discussion,Public Hearings/Meetings,United States,Voting,,facetoface,Yes,1159,"Political Institutions (e.g. Constitutions, Legal Systems, Electoral Systems)",Community building (e.g. social capital),293,,Yes,en,Appointment,2013-07-15T03:54:28,Yes,nongovernmental participatory body,,,Elected Public Official,General Public,Lay Public,1200,Academic Institution,Academic Institution,,2016-08-22T16:12:28,supermajority,,1160
Discussion,"New Media (i.e. internet, texting, etc)",Bulgaria,Not Applicable,,facetoface,Yes,1181,&amp; Corrections,Consultation (i.e. to advise decision makers),294,,Yes,en,Open to all with targeted recruitment,2013-07-18T16:24:05,Yes,restructuring civil society,,,Appointed Public Servants (e.g. bureaucrats),General Public,Elected Public Official,6500,Non-Governmental Organization (Non-profit),Non-Governmental Organization (Non-profit),National Government,2013-11-25T03:00:40,none,Security Police Directorate and the Ministry of Interior Mandated,1182
or Deliberation,Public Report,Brazil,Getting sense of room/group (i.e. no formal voting),,facetoface,Yes,849,Health,Collaborative delivery of services with public authorities,295,1,No,en,Other,2013-04-10T19:57:16,Yes,AIDS,,,"Organized Groups (e.g. NGOs, Business Associations)",,"Stakeholder Organizations (e.g. NGOs, Neighbourhood Associations, Industry Representatives)",,National Government,,,2015-06-29T23:08:12,none,,
or Deliberation,"New Media (i.e. internet, texting, etc)",Ireland,Voting,2014-03-31T17:00:00,facetoface,Yes,850,"Political Institutions (e.g. Constitutions, Legal Systems, Electoral Systems)",Community building (e.g. social capital),296,9,No,en,Random Selection,2013-04-10T19:59:44,Yes,gender and sexual equality,,2012-12-01T09:00:00,Elected Public Official,General Public,Lay Public,100,National Government,National Government,Academic Institution,2016-02-21T02:40:23,majority,,
Discussion,Public Hearings/Meetings,Indonesia,Voting,,facetoface,No,929,"Political Institutions (e.g. Constitutions, Legal Systems, Electoral Systems)",Make public decisions (i.e. exert direct authority),297,,No,de,Appointment,2013-05-06T12:45:41,Yes,kontextuelle und gemeinschaftliche Problemlösung,,,Other,General Public,Lay Public,,Academic Institution,"Local Government (e.g. Village, Town, City)",Other,2016-06-02T21:53:01,none,,
or Deliberation,Policy Recommendations,Iceland,Voting,2009-11-06T17:00:00,facetoface,Yes,852,"Political Institutions (e.g. Constitutions, Legal Systems, Electoral Systems)",Consultation (i.e. to advise decision makers),298,1,No,de,Random Selection,2013-04-11T13:15:30,Yes,constitutional reform,Mostly volunteers w/ some paid,2009-11-06T09:00:00,General Public,General Public,Lay Public,950,National Government,Community Based Organization,National Government,2016-04-26T15:47:56,preferential,,
or Deliberation,Public Hearings/Meetings,Germany,Getting sense of room/group (i.e. no formal voting),,online,Yes,970,Budgeting,Consultation (i.e. to advise decision makers),299,20,No,en,Open to all,2013-05-23T18:33:24,Yes,Municipal Budget Cuts,,,Elected Public Official,General Public,Lay Public,3950,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",For Profit Business,2016-05-25T23:00:09,none,Zebralog - Experts in eParticipation,1012
or Deliberation,"New Media (i.e. internet, texting, etc)",Germany,Getting sense of room/group (i.e. no formal voting),,both,Yes,971,"Planning (e.g. Urban planning, Transportation, etc.)",Raise public awareness,300,,Yes,en,Open to all,2013-05-23T18:34:02,Yes,Sustainability Policy,,,Appointed Public Servants (e.g. bureaucrats),General Public,Lay Public,,National Government,National Government,For Profit Business,2016-02-18T16:13:11,none,Zebralog - Experts in eParticipation,1053
or Deliberation,Public Hearings/Meetings,Germany,Opinion Survey,2010-07-08T17:00:00,both,Yes,972,Community Development,Consultation (i.e. to advise decision makers),301,,Yes,en,Open to all,2013-05-23T18:34:42,Yes,Urban Redevelopment,,2010-06-08T09:00:00,General Public,General Public,Lay Public,1000,"Local Government (e.g. Village, Town, City)",For Profit Business,,2016-05-26T19:03:50,none,,648
,,,,,,No,1385,,,302,,No,en,,2013-10-07T15:31:40,Yes,,,,,,,,,,,2013-10-07T15:31:40,none,,
or Deliberation,"Traditional Media (i.e. television, radio, newspapers)",Nigeria,Not Applicable,,facetoface,Yes,1148,Community Development,Raise public awareness,303,,Yes,en,Open to all with targeted recruitment,2013-07-08T15:41:46,Yes,restructuring civil society,~$15900 (£10000) per meeting,,General Public,Youth,Lay Public,,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",Community Based Organization,2013-11-25T01:59:15,none,Offices of Area Council Chairpersons,1149
Dialogue,Public Report,Mongolia,,,both,Yes,1150,Community Development,Raise public awareness,304,30,Yes,en,Open to all,2013-07-08T17:35:56,Yes,public hearing,,,"Organized Groups (e.g. NGOs, Business Associations)",Other,"Stakeholder Organizations (e.g. NGOs, Neighbourhood Associations, Industry Representatives)",985,National Government,National Government,Philanthropic Organization (i.e. dedicated to making monetary grants or gifts),2016-05-27T21:15:49,none,the Asia Foundation and the Open Society Forum,1151
Other,,United States,,,online,No,1153,Community Development,,305,,No,it,,2013-07-10T09:35:33,Yes,,,,,,,,,,,2013-09-28T02:51:42,none,,
Discussion,Public Report,Colombia,Opinion Survey,,facetoface,Yes,871,Budgeting,Co-governance (i.e. to share decision making with public authorities),306,,No,en,Appointment,2013-04-19T10:15:00,Yes,Municipal Budgeting and Urban Planning,,2007-08-15T09:00:00,Elected Public Official,General Public,Appointed Public Servants (e.g. Bureaucrats),,International Organization,Community Based Organization,Community Based Organization,2016-05-26T19:16:51,preferential,,
Express opinions/preferences only,Public Hearings/Meetings,Chile,Getting sense of room/group (i.e. no formal voting),,facetoface,No,872,Environment,Raise public awareness,307,,No,en,Open to all,2013-04-19T10:19:38,Yes,Sustainable Urban Development,,,General Public,General Public,Lay Public,,International Organization,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",2016-05-29T15:52:15,none,Community Economic and Social Council,
Discussion,"Traditional Media (i.e. television, radio, newspapers)",Chile,Opinion Survey,,facetoface,No,873,"Planning (e.g. Urban planning, Transportation, etc.)",Consultation (i.e. to advise decision makers),308,,No,en,Other,2013-04-19T11:16:17,Yes,Municipal Participatory Planning,,,Elected Public Official,General Public,Appointed Public Servants (e.g. Bureaucrats),,"Regional Government (e.g. State, Provincial, Territorial)",Academic Institution,"Local Government (e.g. Village, Town, City)",2016-08-02T18:47:55,none,Minister of Housing and Urban Planning,
Express opinions/preferences only,Policy Recommendations,Chile,Not Applicable,,facetoface,No,874,"Planning (e.g. Urban planning, Transportation, etc.)",Community building (e.g. social capital),309,,No,en,Open to all,2013-04-19T11:22:10,Yes,Protest of Highway Project,,,Elected Public Official,General Public,Lay Public,,Non-Governmental Organization (Non-profit),Non-Governmental Organization (Non-profit),"Local Government (e.g. Village, Town, City)",2016-05-26T19:35:12,none,,
or Deliberation,Public Hearings/Meetings,Brazil,,,facetoface,Yes,1247,"Planning (e.g. Urban planning, Transportation, etc.)",Community building (e.g. social capital),310,,Yes,en,Open to all,2013-08-10T04:22:55,Yes,contextual and community-based problem-solving,,,General Public,Racial/Ethnic Group(s),Lay Public,,National Government,National Government,National Government,2013-08-10T04:37:38,none,Ministry of Health (Brazil),1248
Dialogue,Public Report,United States,Voting,,both,Yes,1105,"Political Institutions (e.g. Constitutions, Legal Systems, Electoral Systems)",Community building (e.g. social capital),311,,No,en,Random Selection,2013-06-24T17:55:53,Yes,public political forum,,,General Public,General Public,Lay Public,131700,Non-Governmental Organization (Non-profit),International Organization,,2016-08-22T16:16:39,none,,1106
or Deliberation,Policy Recommendations,Ireland,Voting,,facetoface,Yes,1251,"Political Institutions (e.g. Constitutions, Legal Systems, Electoral Systems)",Consultation (i.e. to advise decision makers),312,,No,en,Random Selection,2013-08-14T11:19:54,Yes,,,,General Public,General Public,,2430,Philanthropic Organization (i.e. dedicated to making monetary grants or gifts),Non-Governmental Organization (Non-profit),,2015-08-28T19:16:52,majority,,
Discussion,Policy Recommendations,Canada,Voting,2005-05-17T16:00:00,both,Yes,1250,"Political Institutions (e.g. Constitutions, Legal Systems, Electoral Systems)",Raise public awareness,313,,No,de,Random Selection,2013-08-13T14:25:59,Yes,Electoral System Reform,UBC and SFU Graduate Students and Political Scientists,2004-01-11T16:00:00,"Organized Groups (e.g. NGOs, Business Associations)",General Public,Lay Public,160,"Regional Government (e.g. State, Provincial, Territorial)",Academic Institution,"Regional Government (e.g. State, Provincial, Territorial)",2016-05-21T22:25:31,majority,Elections BC,
Other,"New Media (i.e. internet, texting, etc)",Australia,Not Applicable,,facetoface,Yes,1107,Economic Development,"Develop individual capacities (e.g. skills, learning)",314,,Yes,en,Open to all,2013-06-24T18:18:53,Yes,adult education,,,General Public,General Public,Lay Public,,National Government,National Government,,2013-11-25T02:43:29,none,,1108
or Deliberation,Other,Israel,Voting,,facetoface,No,979,Children &amp; Youth,"Develop individual capacities (e.g. skills, learning)",315,,Yes,en,Election,2013-05-26T15:54:13,Yes,Democratic Education,,,Other,Students,Lay Public,,Individual,Academic Institution,"Local Government (e.g. Village, Town, City)",2016-05-25T22:59:06,majority,,
Express opinions/preferences only,Public Hearings/Meetings,Rwanda,Voting,,facetoface,Yes,980,&amp; Corrections,Other,316,,Yes,de,Election,2013-05-26T16:09:19,Yes,Post-genocide community justice and reconciliation,Judges; participant witnesses,2001-01-26T09:00:00,General Public,General Public,"Experts (e.g. Scientists, Engineers, Criminologists, Doctors, Lawyers)",,National Government,"Local Government (e.g. Village, Town, City)",National Government,2016-05-31T20:00:20,consensus,,
No interaction among participants,"New Media (i.e. internet, texting, etc)",Colombia,Not Applicable,,online,No,1077,Community Development,"Develop individual capacities (e.g. skills, learning)",317,,No,en,Open to all,2013-06-11T02:30:38,Yes,government transparency,,,General Public,General Public,Lay Public,,Academic Institution,Academic Institution,,2016-05-25T22:57:42,none,,1078
Story-Telling,Policy Recommendations,Chile,Opinion Survey,,facetoface,,988,"Planning (e.g. Urban planning, Transportation, etc.)",Co-governance (i.e. to share decision making with public authorities),318,,Yes,en,Election,2013-06-03T18:39:40,Yes,Municipal Participatory Planning,Neighbourhood Development Council (CVD in Spanish),,Elected Public Official,Low-Income Earners,Lay Public,,"Regional Government (e.g. State, Provincial, Territorial)","Local Government (e.g. Village, Town, City)",National Government,2016-05-06T15:08:37,none,,
Dialogue,Policy Recommendations,United States,Voting,2009-03-02T17:00:00,facetoface,Yes,935,Budgeting,Consultation (i.e. to advise decision makers),319,4,No,de,Open to all,2013-05-08T09:16:17,Yes,Municipal Budget Cuts,,2009-02-12T16:00:00,Elected Public Official,General Public,Elected Public Official,1710,Academic Institution,Academic Institution,"Local Government (e.g. Village, Town, City)",2016-05-22T22:09:42,supermajority,City of Philadelphia,
Discussion,"New Media (i.e. internet, texting, etc)",South Africa,,,both,Yes,1161,"Planning (e.g. Urban planning, Transportation, etc.)",Consultation (i.e. to advise decision makers),320,,Yes,en,Appointment,2013-07-15T04:28:55,Yes,government sponsored organization,,,Elected Public Official,Youth,"Stakeholder Organizations (e.g. NGOs, Neighbourhood Associations, Industry Representatives)",,Non-Governmental Organization (Non-profit),"Local Government (e.g. Village, Town, City)",,2013-11-25T02:55:03,none,,1162
Dialogue,,United Kingdom,Getting sense of room/group (i.e. no formal voting),,facetoface,Yes,1198,,Co-governance (i.e. to share decision making with public authorities),321,,No,en,,2013-07-24T10:31:16,Yes,,,,,General Public,,,"Regional Government (e.g. State, Provincial, Territorial)","Regional Government (e.g. State, Provincial, Territorial)",,2013-11-13T22:56:13,none,Community Research,
Discussion,Public Hearings/Meetings,United States,Voting,,facetoface,Yes,1163,"Planning (e.g. Urban planning, Transportation, etc.)",Consultation (i.e. to advise decision makers),322,,No,en,,2013-07-15T05:08:33,Yes,pollution,Small investigative team,,General Public,General Public,Elected Public Official,,National Government,Academic Institution,,2013-11-02T00:43:05,none,,1164
or Deliberation,Public Hearings/Meetings,Canada,,,both,Yes,1165,Higher Education &amp; Lifelong Learning,Raise public awareness,323,,No,en,Open to all with targeted recruitment,2013-07-15T05:41:51,Yes,restructuring civil society,Regular staff who devoted a portion of time from their normal duties,,General Public,General Public,Lay Public,175,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",2013-11-25T15:39:48,none,Civic Engagement Office of the City Manager&#039;s Office at the City of Toronto,1145
Express opinions/preferences only,Public Hearings/Meetings,Brazil,Voting,,facetoface,Yes,1244,Arts &amp; Culture,Co-governance (i.e. to share decision making with public authorities),324,,Yes,de,Appointment,2013-08-07T20:10:27,Yes,Public Policy Formulation,,,Elected Public Official,General Public,"Stakeholder Organizations (e.g. NGOs, Neighbourhood Associations, Industry Representatives)",,National Government,National Government,National Government,2016-05-22T15:59:44,consensus,,1018
Discussion,,United Kingdom,Other,,facetoface,No,1197,Budgeting,Co-governance (i.e. to share decision making with public authorities),325,,No,en,Open to all with targeted recruitment,2013-07-24T07:34:43,Yes,Participatory Budgeting,,,,General Public,,,"Local Government (e.g. Village, Town, City)","Regional Government (e.g. State, Provincial, Territorial)",,2013-11-13T12:36:39,none,,
or Deliberation,Public Report,Canada,Voting,2013-04-15T10:00:00,facetoface,Yes,982,Environment,Consultation (i.e. to advise decision makers),326,6,No,en,Random Selection,2013-05-28T21:04:54,Yes,,,2012-10-13T10:00:00,Elected Public Official,General Public,Lay Public,56,Other,Non-Governmental Organization (Non-profit),"Local Government (e.g. Village, Town, City)",2016-02-17T02:34:23,supermajority,City of Edmonton,280
Discussion,"New Media (i.e. internet, texting, etc)",United States,Not Applicable,,facetoface,Yes,946,"Political Institutions (e.g. Constitutions, Legal Systems, Electoral Systems)",Collaborative delivery of services with public authorities,327,,Yes,en,Open to all,2013-05-16T20:34:59,Yes,,,,General Public,Racial/Ethnic Group(s),Lay Public,,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",Non-Governmental Organization (Non-profit),2016-05-26T19:08:20,none,US Department of Health and Human Services Alternatives Inc.,1049
Dialogue,,Germany,,,facetoface,Yes,1109,Health,Consultation (i.e. to advise decision makers),328,,Yes,en,Random Selection,2013-06-24T19:40:53,Yes,random sample recruitment,,,General Public,General Public,Lay Public,,,Academic Institution,,2016-08-22T16:20:18,none,,1111
Dialogue,"New Media (i.e. internet, texting, etc)",United States,,,facetoface,No,954,Education &amp; Schools,Consultation (i.e. to advise decision makers),329,,Yes,en,Open to all with targeted recruitment,2013-05-18T00:09:21,Yes,,,,General Public,General Public,Lay Public,,"Local Government (e.g. Village, Town, City)",Non-Governmental Organization (Non-profit),,2016-05-26T19:06:17,none,,
Express opinions/preferences only,Public Hearings/Meetings,United States,,,facetoface,Yes,1089,Community Development,Collaborative delivery of services with public authorities,330,,Yes,en,Open to all with targeted recruitment,2013-06-18T16:40:55,Yes,minorities,,,General Public,Other,"Stakeholder Organizations (e.g. NGOs, Neighbourhood Associations, Industry Representatives)",,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",2013-11-25T02:45:51,none,City of Portland,1090
